site_index,award
14025,  برنده ی جایزه ی پولیتزر سال ۱۹۶۳ 
9874,  برنده جایزه پولیتزر 
9874,  برنده جایزه ی نمایشنامه ی حلقه ی منتقدین نیویورک سال 1987 
9874,  برنده جایزه Tony سال 1987 
63869,  نامزد جایزه کتاب ناشر مستقل سال 1999 
63869,  برنده جایزه خواننده گرند کنیون سال 1998 
63869,  نامزد مدال خوانندگان جوان کالیفرنیا سال 1998 
63869,  برنده جایزه سکویا اوکلاهما سال 1998 
1806,  از پرفروش ترین کتاب های نیویورک تایمز 
10985,  برنده ی جایزه ی Anisfield-Wolf سال 2011 
10985,  نامزد دریافت جایزه ی اورنج سال 2011 
10985,  نازمرد دریافت جایزه ی ملی کتاب آمریکا سال 2010 
10985,  نازمرد دریافت جایزه ی بهترین کتاب گودریدز سال 2010 
10985,  از کتاب های پرفروش نیویورک تایمز 
6580,  رودکی مشهور به استاد شاعران، نخستین شاعر مشهور پارسی سرای حوزه تمدن ایرانی در سدهٔ چهارم هجری قمری و استاد شاعران این قرن در ایران است. 
1459,  از کتاب های پرفروش روانشناسی در آمریکا 
1459,  در فهرست کتاب هایی که زندگی تان را دگرگون خواهند کرد 
836,  جزو فهرست کتاب هایی که زندگی تان را دگرگون خواهند کرد 
836,  جزو لیست پرفروش ترین های نیویورک تایمز  
1863,  مودیانو برنده ی جایزه ی نوبل ادبیات سال 2014 
252,  برنده ی جایزه ی داستان جنایی آلمان سال 1992 
