id,name
42,سبزان
1470,سروش
1875,اریش
2628,امید سخن
11,افق
1259,چابک اندیش
66,نشر نی
48,ققنوس
30,پیدایش
1988,بعثت
31,نشر ثالث
1967,دانشگاه تهران
51,کتابسرای تندیس
1575,صفی علیشاه
1327,نیستان
1358,شهرستان ادب
1440,لوگوس
2651,یادواره کتاب
1860,چالش
1621,مطالعات سیاسی
1479,کلید آموزش
1111,نشر ویدا
1539,زعفران
67,نیلوفر
1335,حتمی
1497,شهرآب
2097,جمال
2270,جنگل
1478,کلام
3156,تیموری
69,هرمس
58,مرکز
1856,موسسه فرهنگی و هنری ماهور
2400,دایره المعارف بزرگ اسلامی
1578,قو
1353,اکباتان
1483,مهرسا
1277,فرهنگ جاوید
2018,سمت
1131,نامک
85,نیلا
1472,طرح نو
1913,نمایش
1595,حکمت کلمه
9,علم
1837,آئی سا
2311,آماره
1873,نشر معارف
18,آگه
55,مازیار
1813,نشر گویا
28,پرتقال
2040,یساولی
87,قطره
1195,ابوعطا
3097,فن آوری نوین
2759,خردگان
1612,کتاب پرنده
1378,هیلا
1360,صابرین
1362,ارجمند
33,نشر چشمه
1312,شباهنگ
2091,پلک
1597,موسسه فرهنگی و هنری خراسان
1326,محراب قلم
1375,کتابستان معرفت
1833,عنوان
4451,اطلاع
1337,لاهیتا
38,دوستان
1392,به نشر
1258,زوار
1332,دانژه
2719,قصه باران
1233,ذهن آویز
1910,شبگیر
1361,اردیبهشت
1330,سخن
1786,نشر نظر
1391,بدیهه
1336,بین المللی حافظ
2368,ما و شما
1614,کرگدن
1937,آن سو
47,فرهنگ نشر نو
1129,معین
1282,کتاب سده
1781,نشر علی
2469,طلایه
72,کتاب آمه
2341,کتابسرای میردشتی
79,توس
1253,حکمت
2908,مهر و دل
1971,ادیان و مذاهب
1201,بهار سبز
12,البرز
62,نگاه
1438,کویر
1721,رسا
25,بوتیمار
2396,دانشگاه شهید بهشتی
1630,ادیبان روز
1231,روزبهان
1492,سپیده باوران
24,بهجت
1136,پیکان
1331,سایه گستر
1256,کانون پرورش فکری کودکان و نوجوان
1308,تمدن علمی
1644,سیب سرخ
1210,افکار
1318,نشر نخستین
1196,هامون
1194,آریانا قلم
10,افراز
59,مروارید
1217,دنیای اقتصاد
54,گل آذین
1587,نویسه پارسی
1246,آموخته
2841,آذرکیمیا
1981,نشر فرهنگ اسلامی
1955,اعتلای وطن
1239,فاطمی
2448,آبرنگ
1152,پرسش
1834,بینش نو
40,روزنه
1108,قدیانی
2099,ابرار معاصر تهران
2738,رسپینا
3107,دفتر عقل
2397,گوشه
2601,اگر
2070,دانشگاه امام صادق (ع)
1215,هوپا
1153,نسل نواندیش
1447,آوند دانش
1281,فرهنگ معاصر
73,نشر کتاب پارسه
1667,رخداد کویر
1547,میچکا (مبتکران)
2056,دیباگران تهران
1623,مولف
1482,مهاجر
1178,سوره مهر
1753,طهوری
1835,ورجاوند
2603,نای و نی
1224,آسیم‏‫
2245,پژوهشکده مطالعات راهبردی
1760,بوستان کتاب
1436,پل
1415,نوشته
63,نفیر
96,مجید (به سخن)
1254,مولی
1405,فراروان
93,موسسه فرهنگی هنری جهان کتاب
1265,حرفه نویسنده
1186,حوض نقره
1427,فارابی
81,علمی و فرهنگی
