id,name,info
43843,مصطفی امیری,مصطفی امیری، مترجم ایرانی متولد 1349 است.
5746,تورج یاراحمدی,تورج یاراحمدی مترجم متولد ۱۳۳۹ است.
24867,الهه حجازی,
28889,سهند ستاری,
51963,حافظ بهزادی نژاد,حافظ بهزادی نژاد نویسنده ایرانی متولد سال 1374 می باشد.
21664,حسین اسماعیلی,حسین اسماعیلی متولد سال 1323، نویسنده ایرانی است.
54924,مهدیه ملانوری شمسی,
33130,فاریا جنیدی,فاریا جنیدی مترجم ایرانی متولد سال 1349 می باشد.
5308,لیلا کاشانی وحید,لیلا کاشانی وحید متولد سال 1354، دارای دکترای تخصصی روانشناسی و آموزش کودکان استثنایی دانشگاه تهران سال 1393، کارشناسی ارشد روانشناسی تربیتی دانشگاه کالیفرنیای جنوبی و کارشناسی اقتصاد با ماینر روانشناسی دانشگاه ایالتی کالیفرنیا می باشد.
442,ماندانا قهرمانلو,ماندانا قهرمانلو مترجم ایرانی متولد سال 1352 می باشد.
8749,محمدجواد کمالی,
7694,پارسا بامشادی,پارسا بامشادی متولد سال 1363 نویسنده ایرانی می باشد.
6375,آنا مارچینوفسکا,
5941,فارس باقری,فارس باقری نمایشنامه‌نویس، کارگردان و نویسنده است. او برگزیده دو دوره ادبیات نمایشی سال ایران برای نمایش «پروانه بر ناقوس» و« باشب »، برگزیده جشنواره تئاتر فجر برای نگارش نمایش « پروانه بر ناقوس»، برگزیده داستان‌نویسی و دریافت قلم زرین و کاندیدای جایزه داستان‌نویسی گلشیری شده است.
569,فروغ پوریاوری,
3587,جلال ستاری,جلال ستاری (زاده ۱۳۱۰ رشت) محقق، اسطوره‌شناس و اندیشمند ایرانی است. او در سوئیس تحصیل کرد و دکترا گرفت. یکی از استادان معروف او ژان پیاژه بود. او به مانند کارل گوستاو یونگ سوئیسی در رشته روانشناسی تحصیل کرد و مانند او دغدغه‌ای فراتر از روانشناسی فردی داشت و تمرکز خود را بر روانشناسی جمعی و شناخت تأثیر مثبت یا منفی کهن الگوها و اسطوره‌ها و افسانه‌ها در ناخودآگاه جمعی معطوف کرد.ستاری بالغ بر ۹۰ جلد کتاب در زمینه‌های افسانه‌شناسی، ادبیات نمایشی و نقد فرهنگی در طی بیش از ۶۰ سال به رشتهٔ تحریر درآورده یا ترجمه کرده‌است. این کتاب‌ها بعضاً از کتاب‌های مرجع و شاخص در زمینه‌های تخصصی خود هستند. او نشان معتبر لژیون دونور فرانسه را دریافت کرده‌است.
23745,شادی دبیری,
8267,نیما فرحی,
52172,مجتبی تقوی,مجتبی تقوی (زاده ۱۳ اسفند ۱۳۴۶ - آبادان) بازیکن سابق و مربی فوتبال اهل ایران است. وی دوران بازیگری خود را در باشگاه فوتبال سایپا گذراند و سپس به عنوان سرمربی کار خود را در تیم‌های صنعت نفت آبادان، عقاب، سایپا شمال، سایپا البرز و ذوب‌آهن اصفهان ادامه داد.
818,رامین رامبد,رامین رامبد مترجم ایرانی متولد سال 1345 می باشد.
30543,فاطمه رحیمی,فاطمه رحیمی متولد سال 1366، نویسنده ایرانی می باشد.
14649,نیلوفر اکبری,
