book_id,writer_id
115076,11871
112266,31542
105144,26943
25277,14319
105323,17747
25671,14929
36714,18389
19941,11484
8108,4943
67734,37624
14109,7713
67445,3274
67445,26997
7204,4985
16787,9341
87800,4690
87800,5185
42613,24381
76229,26541
97859,52921
59490,32815
25342,5833
58825,8766
41530,23746
14025,279
101356,54923
112151,54923
68597,30319
32439,18453
77557,42082
45609,25589
112073,66279
35961,20859
13329,7801
22209,13036
77393,42002
77497,42002
115062,67464
55620,16240
14386,8378
58102,16947
105356,56466
12000,4602
21706,5241
97884,53005
96673,52173
103421,55632
9874,5938
76217,41551
120784,70250
35814,20743
39609,2604
47135,26722
42852,4965
100800,3274
100800,54705
110423,65522
25266,14647
9166,5598
56525,31407
65401,2204
24730,2204
63869,12762
53591,29970
51907,29117
93513,41795
95405,51241
65092,35625
82032,3293
16610,9676
54804,18041
54804,30587
54964,18041
54964,30587
72639,30587
10752,3284
67621,18453
48714,27447
31044,3274
91979,3293
91983,3293
120918,19730
38799,16280
58802,10463
121973,70676
53873,8078
25290,3274
112043,3464
61049,33553
44894,3274
44894,25456
86204,46650
13754,2288
82579,2288
103252,2288
19083,3026
19085,3026
19084,3026
45096,25587
104322,23114
104322,56009
56872,4926
89058,48125
28215,16376
55300,16376
70486,16376
16402,9541
1806,3066
99202,3066
22086,3066
38114,11352
10985,304
108433,63619
113424,4842
6580,4842
6581,4842
6582,4842
54330,4842
25496,14795
62339,34168
68540,38123
97089,10047
75043,41152
30350,17616
12646,423
87974,38757
73212,4301
43193,24668
95348,44713
4645,3438
64191,35166
6795,4348
6220,4591
16340,9505
19400,5385
1459,2659
61804,33751
108907,10890
20710,12059
17229,10076
90054,4824
101751,7784
119965,55995
42034,24010
5558,2288
103181,1050
61971,33991
112929,66583
96864,52332
38636,22157
25293,14660
25291,14660
25294,14661
45249,25674
58217,12476
44964,25522
48519,27334
836,1025
104687,1025
77387,42000
35100,20318
25702,3979
88768,44118
28379,8235
47448,26273
68118,7139
27248,703
14898,8690
21642,8690
39815,22864
37247,3292
31294,18161
62651,34283
95972,51541
54602,10659
104887,56252
53528,23367
73472,3644
108426,63616
31227,18129
54954,30638
39778,4377
56507,4377
36784,17090
29097,16862
16322,403
31218,18123
24058,14092
15930,710
69781,3274
69781,37866
91810,48623
17883,10416
44256,25142
22144,12988
112506,16239
79809,43536
103007,29322
76746,41704
85169,45957
37220,21405
103952,55880
102715,28697
86057,46546
96110,39681
83605,5181
120555,70159
3521,12
3519,12
1863,12
13625,12
29840,17306
46529,26422
45811,26020
110410,65522
252,345
60686,681
57694,31297
60815,33432
43592,24833
34605,85
34500,19936
